nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
94;10.2;93.0;98.0;88.0
116;10.7;94.0;100.0;95.0
43;10.4;88.0;100.0;100.0
66;11.5;90.0;100.0;100.0
33;11.9;85.0;100.0;94.0
69;11.6;88.0;91.0;93.0
50;11.8;87.0;100.0;98.0
47;12.3;92.0;100.0;100.0
33;11.1;87.0;94.0;88.0
35;12.1;92.0;100.0;100.0
85;12.4;84.0;93.0;98.0
102;10.2;93.0;95.0;82.0
50;11.0;87.0;91.0;92.0
115;9.9;89.0;99.0;95.0
47;11.1;79.0;100.0;96.0
79;10.7;94.0;93.0;86.0
69;11.2;91.0;100.0;84.0
91;10.4;93.0;96.0;88.0
119;12.8;81.0;98.0;97.0
107;11.7;97.0;98.0;86.0
124;13.0;93.0;99.0;90.0
54;13.7;94.0;100.0;100.0
50;12.8;90.0;94.0;96.0
202;12.2;93.0;98.0;95.0
130;11.3;96.0;100.0;88.0
167;10.9;93.0;100.0;86.0
248;12.3;95.0;97.0;94.0
137;13.8;97.0;97.0;99.0
146;13.0;92.0;98.0;93.0
67;12.1;94.0;99.0;99.0
131;10.4;90.0;94.0;83.0
99;10.7;83.0;97.0;88.0
119;11.5;88.0;99.0;94.0
165;13.4;90.0;98.0;99.0
65;13.0;96.0;100.0;94.0
116;10.4;90.0;98.0;85.0
139;11.0;95.0;98.0;89.0
125;10.9;88.0;90.0;84.0
56;9.1;79.0;89.0;86.0
105;12.2;88.0;95.0;92.0
64;14.8;88.0;98.0;98.0
220;12.3;88.0;99.0;91.0
125;12.3;97.0;100.0;94.0
74;9.4;82.0;95.0;81.0
86;11.2;97.0;100.0;95.0
100;10.3;94.0;95.0;77.0
179;10.7;95.0;97.0;98.0
136;10.3;92.0;97.0;85.0
128;9.9;90.0;94.0;81.0
34;12.4;84.0;100.0;97.0
151;12.0;95.0;99.0;99.0
71;13.4;82.0;99.0;100.0
116;9.8;89.0;96.0;89.0
147;9.5;92.0;98.0;84.0
42;10.8;91.0;100.0;79.0
108;11.7;95.0;100.0;90.0
124;11.6;92.0;98.0;94.0
119;13.7;93.0;96.0;99.0
113;11.8;96.0;96.0;98.0
90;9.1;92.0;98.0;74.0
101;10.5;94.0;98.0;94.0
151;9.9;95.0;98.0;89.0
